"simRun","year","scenario","meanGV","varGV","gGain","relVar","accuracy"
5,1,"Narrow adaptation",0.38410580282696,1.18984818789469,-0.989152039627645,1.18233848684071,0
5,2,"Narrow adaptation",0.348852394701246,1.33039676325183,-1.02440544775336,1.32199999291016,0
5,3,"Narrow adaptation",0.0521396107788613,1.08700840683462,-1.32111823167574,1.08014777683027,0
5,4,"Narrow adaptation",0.833357545920331,0.73552816691699,-0.539900296534274,0.730885896830333,0
5,5,"Narrow adaptation",1.12040289616001,0.762689747539393,-0.252854946294593,0.757876047725227,0
5,6,"Narrow adaptation",0.585120370227673,1.52133712362967,-0.788137472226931,1.51173523734114,0
5,7,"Narrow adaptation",0.992425317782368,0.778079354362347,-0.380832524672236,0.773168523378208,0
5,8,"Narrow adaptation",1.36115094538138,0.88154551289583,-0.0121068970732239,0.875981657494211,0
5,9,"Narrow adaptation",1.23918956455,0.839835461099622,-0.134068277904608,0.834534857786062,0
5,10,"Narrow adaptation",1.3732578424546,1.00635156610189,0,1,0
5,11,"Narrow adaptation",2.07322930188761,0.859580703859904,0.699971459433002,0.85415547887454,0.247201020343724
5,12,"Narrow adaptation",1.63288794581469,0.932083713950457,0.259630103360081,0.926200887788041,-0.0315625320807213
5,13,"Narrow adaptation",1.9703937132533,0.904722162190713,0.597135870798699,0.899012027869306,-0.235895591922218
5,14,"Narrow adaptation",2.32902924082963,0.739038786253943,0.955771398375022,0.734374358969415,0.127888074661553
5,15,"Narrow adaptation",2.38646555841271,0.732784209830957,1.0132077159581,0.728159258169987,0.251965501141285
5,16,"Narrow adaptation",2.26924429487255,1.2699576669006,0.895986452417942,1.26194235660584,0.128693714356748
5,17,"Narrow adaptation",2.51871246200851,0.618104246397884,1.14545461955391,0.614203094841015,-0.0640485486850364
5,18,"Narrow adaptation",2.38704058434045,0.722939601794926,1.01378274188584,0.718376784164243,0.0634292847235575
5,19,"Narrow adaptation",2.42403473605876,0.629755789020621,1.05077689360416,0.625781099004977,-0.0877621354653506
5,20,"Narrow adaptation",2.73645022243835,0.771509410027612,1.36319237998375,0.766640045104773,-0.0221112111614128
