"simRun","year","scenario","meanGV","varGV","gGain","relVar","accuracy"
2,1,"Conv",0.523293055588641,1.3721100232449,-1.36160594832697,1.10781408120314,0
2,2,"Conv",0.552282673105024,1.30394065113856,-1.33261633081058,1.05277549898537,0
2,3,"Conv",0.340432648060372,1.1306800769014,-1.54446635585523,0.912888390367546,0
2,4,"Conv",0.922988068010351,1.78398421951024,-0.961910935905255,1.44035303695532,0
2,5,"Conv",1.02298294699623,1.5417324013192,-0.861916056919373,1.24476378329297,0
2,6,"Conv",0.948416105280296,1.61228539961769,-0.93648289863531,1.30172685743577,0
2,7,"Conv",1.60547027134566,1.23977215240777,-0.279428732569946,1.00096714159467,0
2,8,"Conv",1.58696887923948,1.35588681935015,-0.297930124676121,1.09471579213567,0
2,9,"Conv",1.73826471664655,1.23136729820752,-0.146634287269059,0.994181231080382,0
2,10,"Conv",1.88489900391561,1.23857427570764,0,1,0
2,11,"Conv",2.24135949367802,1.31041412378684,0.35646048976241,1.05800205081617,0.266845534588645
2,12,"Conv",2.48224512525202,1.5094111564857,0.597346121336415,1.21866825921548,0.362138433446395
2,13,"Conv",2.85199001717396,1.04930239063893,0.967091013258351,0.847185680519178,0.24580044178332
2,14,"Conv",2.74928384592693,1.11252450942157,0.864384842011329,0.898229949742777,0.306291051724043
2,15,"Conv",3.03389550171916,1.13570709063113,1.14899649780355,0.91694710031198,0.31937449049782
2,16,"Conv",3.53404069743947,0.769867928771735,1.64914169352386,0.62157590696923,0.0901049973601349
2,17,"Conv",3.47694229280611,1.08183593783552,1.59204328889051,0.873452613261668,0.386577914750518
2,18,"Conv",3.51230956223205,0.95503379450204,1.62741055831645,0.771075108883878,0.178861535233165
2,19,"Conv",3.67631364183866,0.873249795704722,1.79141463792306,0.705044350453511,0.0850351500729707
2,20,"Conv",4.04308946028983,1.05580863077311,2.15819045637423,0.85243868816013,0.328890589644648
