"simRun","year","scenario","meanGV","varGV","gGain","relVar","accCET","accPYT","accAYT","accUYT"
1,1,"Narrow adaptation",0.108304965795983,1.11445687538787,-1.64490294362905,1.0987078111814,0,0,0,0
1,2,"Narrow adaptation",0.257686196117318,0.954299357575544,-1.49552171330771,0.940813576127595,0,0,0,0
1,3,"Narrow adaptation",0.145740657643795,0.959189972140025,-1.60746725178124,0.945635078459483,0,0,0,0
1,4,"Narrow adaptation",0.87463387882512,0.794711047775486,-0.878574030599913,0.783480505263334,0,0,0,0
1,5,"Narrow adaptation",0.898007966091478,0.964482441572089,-0.855199943333555,0.950852756804752,0,0,0,0
1,6,"Narrow adaptation",0.987428050284562,0.773080063593536,-0.765779859140471,0.76215520160277,0,0,0,0
1,7,"Narrow adaptation",0.978003135343308,1.01638697739786,-0.775204774081725,1.00202379823933,0,0,0,0
1,8,"Narrow adaptation",1.25124433111256,0.947576622049235,-0.501963578312478,0.934185843643382,0,0,0,0
1,9,"Narrow adaptation",1.6327981466651,0.745691959228293,-0.120409762759933,0.735154135106526,0,0,0,0
1,10,"Narrow adaptation",1.75320790942503,1.01433416969115,0,1,0,0,0,0
1,11,"Narrow adaptation",2.09297664124302,0.618823010573144,0.339768731817989,0.610078048303911,0.317056604740054,0.150465460665322,0.257639419531398,0.277338893472317
1,12,"Narrow adaptation",1.96915623603059,0.8155172040059,0.215948326605554,0.803992637115058,0.300323027010601,0.211183532826279,0.120181533560893,0.206934854048459
1,13,"Narrow adaptation",2.23818539332973,0.563233010360802,0.484977483904697,0.555273624009235,0.135308799606462,0.294039976049139,0.379943076072938,0.0678210812326854
1,14,"Narrow adaptation",2.44197201588337,0.700057722818587,0.688764106458335,0.690164783694258,-0.0389235055914579,0.239068706884963,0.12888497712622,-0.0145002720504982
1,15,"Narrow adaptation",2.30958860434848,1.02142991559406,0.55638069492345,1.00699547162556,0.0297176347904648,0.301509412200883,0.407719307966652,-0.204434147953266
1,16,"Narrow adaptation",2.35145699923814,0.810762918645368,0.598249089813103,0.799305537436675,0.416007964398463,0.229578048497161,0.22315841545741,-0.217933245925954
1,17,"Narrow adaptation",2.77269654990469,1.02681242130526,1.01948864047966,1.01230191389285,0.358989200070321,0.350145092019732,0.274334439685548,-0.069344779251737
1,18,"Narrow adaptation",2.62714658244193,0.813137195539601,0.873938673016894,0.80164626198799,0.243733059008253,0.338894488950266,0.210254018283063,0.227196807063416
1,19,"Narrow adaptation",3.15615587343044,0.805216762746194,1.40294796400541,0.793837757621211,0.289702862877868,-0.01960358893917,0.244584955910693,0.191730220359679
1,20,"Narrow adaptation",3.04830950482185,0.620031129549904,1.29510159539682,0.611269094620656,0.0754731157959393,0.345223745206762,0.287855993580589,0.280834791654155
