"simRun","year","scenario","meanGV","varGV","gGain","relVar","accCET","accPYT","accAYT","accUYT"
1,1,"Conv",0.108304965795983,1.11445687538787,-1.64490294362905,1.0987078111814,0,0,0,0
1,2,"Conv",0.257686196117318,0.954299357575544,-1.49552171330771,0.940813576127595,0,0,0,0
1,3,"Conv",0.145740657643795,0.959189972140025,-1.60746725178124,0.945635078459483,0,0,0,0
1,4,"Conv",0.87463387882512,0.794711047775486,-0.878574030599913,0.783480505263334,0,0,0,0
1,5,"Conv",0.898007966091478,0.964482441572089,-0.855199943333555,0.950852756804752,0,0,0,0
1,6,"Conv",0.987428050284562,0.773080063593536,-0.765779859140471,0.76215520160277,0,0,0,0
1,7,"Conv",0.978003135343308,1.01638697739786,-0.775204774081725,1.00202379823933,0,0,0,0
1,8,"Conv",1.25124433111256,0.947576622049235,-0.501963578312478,0.934185843643382,0,0,0,0
1,9,"Conv",1.6327981466651,0.745691959228293,-0.120409762759933,0.735154135106526,0,0,0,0
1,10,"Conv",1.75320790942503,1.01433416969115,0,1,0,0,0,0
1,11,"Conv",1.68486412225524,0.685773044500913,-0.0683437871697941,0.67608197080625,0.0726901769302241,0.220842496490733,0.498955517574597,0.553086308801717
1,12,"Conv",1.67219203196123,0.777547704159451,-0.0810158774637995,0.766559707237511,0.146103187571606,0.230497732638912,0.464642915656935,0.51245188668994
1,13,"Conv",2.15094681033759,0.795044746125059,0.397738900912552,0.783809487919685,0.1165784755186,0.219545023108037,0.556375715581023,0.527576842824239
1,14,"Conv",2.49694565337973,0.838785016678572,0.743737743954692,0.826931638252875,0.0771195266639678,0.254296159429258,0.329452907795502,0.507336790527826
1,15,"Conv",2.4270050117566,0.960692777818892,0.673797102331569,0.947116647082302,0.0968091330474003,0.184809799596073,0.46301587240436,0.412360642269698
1,16,"Conv",2.35610892820791,0.978777981807505,0.602901018782874,0.964946278114174,0.0924462978789911,0.226233380822363,0.500691365374721,0.466611865121275
1,17,"Conv",2.54056823821503,0.794783099155294,0.787360328789996,0.783551538441512,0.0998643972981495,0.108124243820903,0.242544170629291,0.526361388831819
1,18,"Conv",3.26722967097238,0.729959376068439,1.51402176154735,0.719643878595455,0.0631035014921929,0.0829397470122954,0.408327404154635,0.677924353822805
1,19,"Conv",3.15640934774895,0.820749112301505,1.40320143832392,0.80915061014992,0.129463724575089,0.245778667341059,0.660428724772462,0.655164920623688
1,20,"Conv",2.95760915426184,0.905344282230592,1.20440124483681,0.892550314563747,0.0930990586617529,0.235234779540552,0.19939981008778,0.363583159375517
