"simRun","year","scenario","meanGV","varGV","gGain","relVar","accuracy"
3,1,"Broad adaptation",-0.046044103089881,1.15361846356536,-1.09207825647699,1.09590631606072,0
3,2,"Broad adaptation",0.370363355035033,1.14939127867822,-0.675670798352076,1.09189060483272,0
3,3,"Broad adaptation",0.258055742258558,1.36428965815367,-0.78797841112855,1.29603824880375,0
3,4,"Broad adaptation",0.399189730388268,1.15815884029702,-0.64684442299884,1.10021955106404,0
3,5,"Broad adaptation",0.496595925397741,1.60223445072935,-0.549438227989368,1.52207936143603,0
3,6,"Broad adaptation",0.84252398214846,1.47535012735897,-0.203510171238648,1.40154268853906,0
3,7,"Broad adaptation",0.468777427496633,1.17848507927632,-0.577256725890475,1.11952892793578,0
3,8,"Broad adaptation",1.3472480424885,0.697157538201044,0.301213889101396,0.662280791729528,0
3,9,"Broad adaptation",1.22000560372854,0.953243381124794,0.17397145034143,0.905555411179108,0
3,10,"Broad adaptation",1.04603415338711,1.05266157029926,0,1,0
3,11,"Broad adaptation",1.57944428234851,0.733093221151431,0.533410128961404,0.696418717881968,0.0795410680647696
3,12,"Broad adaptation",1.77993279218273,1.15305383040071,0.733898638795617,1.09536992983691,-0.127726031452842
3,13,"Broad adaptation",2.26082630324122,0.773612735169175,1.21479214985411,0.734911159480481,0.0926913311418085
3,14,"Broad adaptation",2.08010943275974,1.02050925849675,1.03407527937263,0.969456174035714,0.240491523478754
3,15,"Broad adaptation",2.22010826723298,0.768229830531414,1.17407411384588,0.729797545770587,-0.0644395853348532
3,16,"Broad adaptation",2.73706684777443,0.862885117206021,1.69103269438733,0.819717506131349,0.312425748357424
3,17,"Broad adaptation",2.35146895632076,0.85101997136652,1.30543480293365,0.80844593873089,0.0501209967434554
3,18,"Broad adaptation",2.2349962816305,0.848982953226977,1.18896212824339,0.806510826633121,-0.120794196714945
3,19,"Broad adaptation",2.7090278409703,0.771812954620914,1.66299368758319,0.733201416673257,0.0896825904519812
3,20,"Broad adaptation",2.98196020524211,0.903695256974995,1.935926051855,0.858486034327331,0.154096575181747
