"simRun","year","scenario","meanGV","varGV","gGain","relVar","accuracy"
5,1,"Conv",0.38410580282696,1.18984818789469,-0.989152039627645,1.18233848684071,0
5,2,"Conv",0.348852394701246,1.33039676325183,-1.02440544775336,1.32199999291016,0
5,3,"Conv",0.0521396107788613,1.08700840683462,-1.32111823167574,1.08014777683027,0
5,4,"Conv",0.833357545920331,0.73552816691699,-0.539900296534274,0.730885896830333,0
5,5,"Conv",1.12040289616001,0.762689747539393,-0.252854946294593,0.757876047725227,0
5,6,"Conv",0.585120370227673,1.52133712362967,-0.788137472226931,1.51173523734114,0
5,7,"Conv",0.992425317782368,0.778079354362347,-0.380832524672236,0.773168523378208,0
5,8,"Conv",1.36115094538138,0.88154551289583,-0.0121068970732239,0.875981657494211,0
5,9,"Conv",1.23918956455,0.839835461099622,-0.134068277904608,0.834534857786062,0
5,10,"Conv",1.3732578424546,1.00635156610189,0,1,0
5,11,"Conv",2.031103600088,1.04970050591028,0.657845757633394,1.04307534391415,0.334749056207047
5,12,"Conv",1.85711385655105,1.30163652615765,0.483856014096446,1.29342127542917,0.328598637327601
5,13,"Conv",2.04506040222131,0.977761138055082,0.671802559766706,0.971590019820256,0.315246095634706
5,14,"Conv",2.10189360781481,0.815043559539739,0.728635765360204,0.809899429775636,0.291968942920741
5,15,"Conv",2.42751698265576,0.774641789058002,1.05425914020115,0.76975265419279,0.28502955895567
5,16,"Conv",2.80889634451757,0.806985606122917,1.43563850206297,0.801892333957188,0.24638046133258
5,17,"Conv",2.82760742692265,0.855335289449276,1.45434958446805,0.849936859304967,0.186868503385457
5,18,"Conv",2.92981787625206,0.714165997556226,1.55656003379746,0.709658554338572,0.136826650636558
5,19,"Conv",2.78373418196949,0.615423154225518,1.41047633951488,0.611538924323796,0.109301934999061
5,20,"Conv",3.35256286488311,0.800176984401643,1.97930502242851,0.795126684704365,0.22101884931394
